subject,seed,solution_id,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_distribution
jpetstore,0,seed0_solution010,0.43768632830361265,0.7234567901234568,2.6160714285714284,4,6.0,8,4,0.3333333333333333,0.0,"{""4"": 1, ""6"": 2, ""8"": 1}"
jpetstore,0,seed0_solution011,0.434802621551593,0.7209876543209877,2.584070796460177,4,6.0,7,4,0.2916666666666667,0.0,"{""4"": 1, ""6"": 1, ""7"": 2}"
jpetstore,0,seed0_solution012,0.43026063100137213,0.7160493827160493,2.5217391304347827,4,6.0,8,4,0.3333333333333333,0.0,"{""4"": 1, ""6"": 2, ""8"": 1}"
jpetstore,0,seed0_solution013,0.4265416857186409,0.7160493827160493,2.5217391304347827,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 1, ""6"": 2, ""7"": 1}"
jpetstore,0,seed0_solution014,0.42478585581466277,0.7135802469135802,2.4913793103448274,4,6.0,9,3,0.375,0.0,"{""3"": 1, ""6"": 2, ""9"": 1}"
jpetstore,0,seed0_solution015,0.42356043286084477,0.7111111111111111,2.4615384615384617,4,6.0,8,3,0.3333333333333333,0.0,"{""3"": 1, ""6"": 1, ""7"": 1, ""8"": 1}"
jpetstore,0,seed0_solution016,0.3955860387136107,0.7086419753086419,2.4322033898305087,4,6.0,8,2,0.3333333333333333,0.0,"{""2"": 1, ""7"": 2, ""8"": 1}"
jpetstore,0,seed0_solution017,0.4207925621094345,0.6962962962962963,2.292682926829268,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 1, ""6"": 2, ""7"": 1}"
jpetstore,0,seed0_solution018,0.4174455113549764,0.6864197530864198,2.188976377952756,4,6.0,7,5,0.2916666666666667,0.0,"{""5"": 2, ""7"": 2}"
jpetstore,0,seed0_solution019,0.435515927450084,0.6839506172839506,2.1640625,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}"
jpetstore,0,seed0_solution020,0.4305014479500079,0.6839506172839506,2.1640625,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""5"": 3, ""7"": 1}"
jpetstore,0,seed0_solution021,0.4340832190214907,0.6839506172839506,2.1640625,5,4.8,6,2,0.25,0.0,"{""2"": 1, ""5"": 2, ""6"": 2}"
jpetstore,0,seed0_solution022,0.4333577198597777,0.6814814814814815,2.13953488372093,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 1, ""3"": 1, ""5"": 1, ""6"": 1, ""8"": 1}"
jpetstore,0,seed0_solution023,0.4304740131077581,0.6790123456790124,2.1153846153846154,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""3"": 1, ""5"": 1, ""7"": 2}"
jpetstore,0,seed0_solution024,0.42484682213077285,0.671604938271605,2.045112781954887,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2}"
jpetstore,0,seed0_solution025,0.42000304831580576,0.6666666666666666,2.0,5,4.8,7,3,0.2916666666666667,0.0,"{""3"": 1, ""4"": 1, ""5"": 2, ""7"": 1}"
jpetstore,0,seed0_solution026,0.41857033988721243,0.6666666666666666,2.0,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""5"": 3, ""6"": 1}"
jpetstore,0,seed0_solution027,0.42392623075750663,0.6617283950617284,1.9562043795620438,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}"
jpetstore,0,seed0_solution028,0.41513488797439435,0.6617283950617284,1.9562043795620438,5,4.8,6,2,0.25,0.0,"{""2"": 1, ""4"": 1, ""6"": 3}"
jpetstore,0,seed0_solution029,0.4215180612711478,0.6617283950617284,1.9562043795620438,5,4.8,6,2,0.25,0.0,"{""2"": 1, ""4"": 1, ""6"": 3}"
jpetstore,0,seed0_solution030,0.38372504191434237,0.6592592592592592,1.934782608695652,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 2, ""6"": 1, ""7"": 2}"
jpetstore,0,seed0_solution031,0.42220088401158373,0.6567901234567901,1.9136690647482015,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""4"": 2, ""7"": 2}"
jpetstore,0,seed0_solution032,0.40912056089010834,0.654320987654321,1.8928571428571428,5,4.8,6,4,0.25,0.0,"{""4"": 2, ""5"": 2, ""6"": 1}"
jpetstore,0,seed0_solution033,0.4171406797744248,0.6518518518518519,1.872340425531915,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""4"": 2, ""7"": 2}"
jpetstore,0,seed0_solution034,0.4139399481786316,0.6518518518518519,1.872340425531915,5,4.8,7,2,0.2916666666666667,0.0,"{""2"": 1, ""4"": 1, ""5"": 1, ""6"": 1, ""7"": 1}"
jpetstore,0,seed0_solution035,0.41110501447950015,0.6518518518518519,1.872340425531915,5,4.8,6,3,0.25,0.0,"{""3"": 1, ""4"": 1, ""5"": 1, ""6"": 2}"
jpetstore,0,seed0_solution036,0.4015302545343699,0.6518518518518519,1.872340425531915,5,4.8,5,4,0.20833333333333334,0.0,"{""4"": 1, ""5"": 4}"
jpetstore,0,seed0_solution037,0.41218411827465345,0.6493827160493827,1.852112676056338,5,4.8,9,2,0.375,0.0,"{""2"": 1, ""3"": 1, ""4"": 1, ""6"": 1, ""9"": 1}"
jpetstore,0,seed0_solution038,0.389791190367322,0.6469135802469136,1.832167832167832,5,4.8,9,2,0.375,0.0,"{""2"": 2, ""5"": 1, ""6"": 1, ""9"": 1}"
jpetstore,0,seed0_solution039,0.3890321597317482,0.6444444444444445,1.8125,5,4.8,8,2,0.3333333333333333,0.0,"{""2"": 2, ""5"": 1, ""7"": 1, ""8"": 1}"
jpetstore,0,seed0_solution040,0.3926322206980643,0.6370370370370371,1.7551020408163265,5,4.8,5,4,0.20833333333333334,0.0,"{""4"": 1, ""5"": 4}"
jpetstore,0,seed0_solution041,0.38773967383020885,0.6345679012345679,1.7364864864864864,5,4.8,9,2,0.375,0.0,"{""2"": 2, ""4"": 1, ""7"": 1, ""9"": 1}"
