subject,stage,seed,profile,budget,status,available_candidate_count,solution_id,label_vector,is_injected_seed,injected_seed_name,injected_seed_category,projected_membership,weighted_modularity,internal_edge_weight_ratio,internal_external_edge_ratio,cluster_count,average_cluster_size,max_cluster_size,min_cluster_size,max_cluster_ratio,singleton_ratio,cluster_size_cv,coupling,cohesion,imbalance,f_semantic,q_loss,gain_imbalance,gain_semantic,equals_leiden,equals_conservative,realised_modularity_loss,permitted_modularity_loss,above_leiden_modularity,exact_leiden_modularity,baseline_weighted_modularity,baseline_imbalance,baseline_semantic,target_improvement,required_modularity_loss
jpetstore,stage3,7,reverse_semantic_0.20,,achieved,0,seed7_solution031,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 1, 0, 1, 2, 0]",False,,,True,0.37953055936595031516,0.64691358024691347772,1.8321678321678320778,4,6,8,4,0.33333333333333331483,0,0.23570226039551581132,0.35308641975308641126,6.3184523809523813753,0.23570226039551581132,0.40012747521022989927,0.14146916653450189449,-0.15470053837925179518,0.21889778300975609726,False,False,0.14146916653450189449,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.14146916653450189449
jpetstore,stage3,7,reverse_semantic_0.30,,achieved,0,seed7_solution034,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.35147081237616212279,0.64444444444444437536,1.8125,4,6,8,4,0.33333333333333331483,0,0.23570226039551581132,0.35555555555555551361,5.201785714285714235,0.23570226039551581132,0.33695040469015452578,0.2049427324318547905,-0.15470053837925179518,0.34222785380844888969,False,False,0.2049427324318547905,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.2049427324318547905
jpetstore,stage3,8,reverse_semantic_0.05,,achieved,0,seed8_solution017,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 2, 3, 3, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43050144795000760967,0.68395061728395045719,2.1640625,5,4.7999999999999998224,7,2,0.29166666666666657415,0,0.33333333333333331483,0.31604938271604932076,8.3085714285714296068,0.33333333333333331483,0.48394775749914670238,0.026168623854476300711,-0.63299316185545251301,0.055269408601771700951,False,False,0.026168623854476300711,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.026168623854476300711
jpetstore,stage3,8,reverse_semantic_0.10,,achieved,0,seed8_solution027,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 4, 2, 2, 2, 2, 2, 3, 4, 2, 3, 0, 0, 1, 2, 0]",False,,,False,0.389166285627190911,0.64444444444444437536,1.8125,5,4.7999999999999998224,9,2,0.375,0,0.5,0.35555555555555551361,8.6033333333333334991,0.5,0.43903096590486062611,0.11967232331869180617,-1.4494897427831783254,0.14295297863392680826,False,False,0.11967232331869180617,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.11967232331869180617
jpetstore,stage3,8,reverse_semantic_0.20,,achieved,0,seed8_solution000,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 2, 0, 2, 3, 0, 2, 0, 0, 0, 1, 2, 0]",False,,,True,0.35383935375704922421,0.76049382716049385156,3.175257731958762708,4,6,9,2,0.375,0,0.45643546458763839535,0.23950617283950609293,4.2392857142857138797,0.45643546458763839535,0.40080142840214572075,0.1995848877059185067,-1.2360679774997900271,0.21758213645967480754,False,False,0.1995848877059185067,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.1995848877059185067
jpetstore,stage3,8,reverse_semantic_0.30,,achieved,0,seed8_solution035,"[0, 1, 1, 2, 1, 1, 0, 2, 0, 0, 2, 2, 0, 0, 2, 0, 0, 2, 0, 3, 3, 3, 2, 3]",False,,,False,0.32876390794086257641,0.61975308641975312973,1.6298701298701299134,4,6,9,4,0.375,0,0.35355339059327367535,0.38024691358024692578,4.9871031746031739829,0.35355339059327367535,0.31896968478523041179,0.2563077071596526757,-0.73205080756887741522,0.37732861806723322351,False,False,0.2563077071596526757,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.2563077071596526757
jpetstore,stage3,9,reverse_semantic_0.05,,achieved,0,seed9_solution001,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 0, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.43705532693187010285,0.74814814814814811772,2.9705882352941177516,4,6,7,5,0.29166666666666657415,0,0.1666666666666666019,0.25185185185185182677,4.9690476190476191576,0.1666666666666666019,0.46566906033572091905,0.011343184780135299322,0.18350341907227391003,0.090951864225554193699,False,False,0.011343184780135299322,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.050000000000000002776,0.011343184780135299322
jpetstore,stage3,9,reverse_semantic_0.10,,achieved,0,seed9_solution010,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 3, 3, 2, 3, 0, 2, 3, 0, 0, 1, 2, 0]",False,,,True,0.39061118731900618117,0.68395061728395045719,2.1640625,4,6,7,5,0.29166666666666657415,0,0.11785113019775790566,0.31604938271604932076,4.9940476190476186247,0.11785113019775790566,0.44522588582512051536,0.11640383116927900675,0.42264973081037410241,0.1308596684176022984,False,False,0.11640383116927900675,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.10000000000000000555,0.11640383116927900675
jpetstore,stage3,9,reverse_semantic_0.20,,achieved,0,seed9_solution018,"[0, 1, 1, 2, 1, 1, 0, 1, 3, 3, 2, 2, 3, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.36407559823197682691,0.65925925925925921156,1.9347826086956521063,4,6,7,5,0.29166666666666657415,0,0.11785113019775790566,0.34074074074074067742,4.6488095238095237249,0.11785113019775790566,0.38138890928255519963,0.17642962053771510389,0.42264973081037410241,0.25547796381747078787,False,False,0.17642962053771510389,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.2000000000000000111,0.17642962053771510389
jpetstore,stage3,9,reverse_semantic_0.30,,achieved,0,seed9_solution022,"[0, 1, 1, 2, 1, 1, 0, 2, 3, 3, 2, 2, 2, 3, 2, 3, 3, 2, 3, 0, 0, 0, 2, 0]",False,,,False,0.35147081237616212279,0.64444444444444437536,1.8125,4,6,8,4,0.33333333333333331483,0,0.23570226039551581132,0.35555555555555551361,5.201785714285714235,0.23570226039551581132,0.33695040469015452578,0.2049427324318547905,-0.15470053837925179518,0.34222785380844888969,False,False,0.2049427324318547905,,False,False,0.44206980643194632163,0.20412414523193139759,0.512260068537518376,0.29999999999999987788,0.2049427324318547905
