subject,class_id,model_token_count,model_max_sequence_length,tokenizer_truncated,declaration_token_count,body_section_token_count,contract_body_tokens_truncated,declaration_section_affected,body_section_affected
xerces,org.apache.xerces.impl.dtd.models.MixedContentModel,50,32768,false,21,20,0,false,false
xerces,org.apache.xerces.impl.dtd.models.SimpleContentModel,56,32768,false,21,26,0,false,false
xerces,org.apache.xerces.impl.dv.DTDDVFactory,79,32768,false,41,29,0,false,false
xerces,org.apache.xerces.impl.dv.DVFactoryException,20,32768,false,9,2,0,false,false
xerces,org.apache.xerces.impl.dv.DatatypeException,61,32768,false,23,29,0,false,false
xerces,org.apache.xerces.impl.dv.DatatypeValidator,26,32768,false,15,3,0,false,false
xerces,org.apache.xerces.impl.dv.InvalidDatatypeFacetException,24,32768,false,14,1,0,false,false
xerces,org.apache.xerces.impl.dv.InvalidDatatypeValueException,23,32768,false,13,1,0,false,false
xerces,org.apache.xerces.impl.dv.ObjectFactory,139,32768,false,70,60,0,false,false
xerces,org.apache.xerces.impl.dv.ObjectFactory$ConfigurationError,27,32768,false,15,3,0,false,false
xerces,org.apache.xerces.impl.dv.SchemaDVFactory,134,32768,false,103,22,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport,94,32768,false,60,25,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$1,27,32768,false,15,3,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$2,27,32768,false,15,3,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$3,32,32768,false,15,8,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$4,33,32768,false,15,9,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$5,32,32768,false,16,7,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$6,34,32768,false,15,10,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$7,30,32768,false,15,6,0,false,false
xerces,org.apache.xerces.impl.dv.SecuritySupport$8,29,32768,false,15,5,0,false,false
xerces,org.apache.xerces.impl.dv.ValidatedInfo,167,32768,false,99,59,0,false,false
xerces,org.apache.xerces.impl.dv.ValidationContext,94,32768,false,83,3,0,false,false
xerces,org.apache.xerces.impl.dv.XSFacets,36,32768,false,12,15,0,false,false
xerces,org.apache.xerces.impl.dv.XSSimpleType,99,32768,false,88,3,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.DTDDVFactoryImpl,73,32768,false,38,26,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.ENTITYDatatypeValidator,43,32768,false,20,14,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.IDDatatypeValidator,44,32768,false,20,15,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.IDREFDatatypeValidator,45,32768,false,21,15,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.ListDatatypeValidator,48,32768,false,20,19,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.NMTOKENDatatypeValidator,44,32768,false,22,13,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.NOTATIONDatatypeValidator,32,32768,false,21,2,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.StringDatatypeValidator,31,32768,false,20,2,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.XML11DTDDVFactoryImpl,76,32768,false,35,32,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.XML11IDDatatypeValidator,47,32768,false,23,15,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.XML11IDREFDatatypeValidator,50,32768,false,26,15,0,false,false
xerces,org.apache.xerces.impl.dv.dtd.XML11NMTOKENDatatypeValidator,50,32768,false,28,13,0,false,false
xerces,org.apache.xerces.impl.dv.util.Base64,92,32768,false,50,33,0,false,false
xerces,org.apache.xerces.impl.dv.util.ByteListImpl,78,32768,false,43,26,0,false,false
xerces,org.apache.xerces.impl.dv.util.HexBin,49,32768,false,17,23,0,false,false
xerces,org.apache.xerces.impl.dv.xs.AbstractDateTimeDV,613,32768,false,429,175,0,false,false
xerces,org.apache.xerces.impl.dv.xs.AbstractDateTimeDV$DateTimeData,181,32768,false,103,69,0,false,false
xerces,org.apache.xerces.impl.dv.xs.AnyAtomicDV,40,32768,false,26,5,0,false,false
xerces,org.apache.xerces.impl.dv.xs.AnySimpleDV,41,32768,false,27,5,0,false,false
xerces,org.apache.xerces.impl.dv.xs.AnyURIDV,90,32768,false,33,48,0,false,false
xerces,org.apache.xerces.impl.dv.xs.Base64BinaryDV,65,32768,false,35,21,0,false,false
xerces,org.apache.xerces.impl.dv.xs.Base64BinaryDV$XBase64,58,32768,false,30,19,0,false,false
xerces,org.apache.xerces.impl.dv.xs.BaseDVFactory,158,32768,false,102,47,0,false,false
xerces,org.apache.xerces.impl.dv.xs.BaseSchemaDVFactory,197,32768,false,112,76,0,false,false
xerces,org.apache.xerces.impl.dv.xs.BooleanDV,50,32768,false,26,15,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DateDV,105,32768,false,55,41,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DateTimeDV,97,32768,false,45,43,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DayDV,110,32768,false,56,45,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DayTimeDurationDV,68,32768,false,31,28,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DecimalDV,75,32768,false,46,20,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DecimalDV$XDecimal,150,32768,false,87,54,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DoubleDV,80,32768,false,49,22,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DoubleDV$XDouble,91,32768,false,49,33,0,false,false
xerces,org.apache.xerces.impl.dv.xs.DurationDV,219,32768,false,124,86,0,false,false
xerces,org.apache.xerces.impl.dv.xs.EntityDV,75,32768,false,36,30,0,false,false
xerces,org.apache.xerces.impl.dv.xs.ExtendedSchemaDVFactoryImpl,68,32768,false,39,20,0,false,false
xerces,org.apache.xerces.impl.dv.xs.FloatDV,69,32768,false,42,18,0,false,false
xerces,org.apache.xerces.impl.dv.xs.FloatDV$XFloat,88,32768,false,48,31,0,false,false
xerces,org.apache.xerces.impl.dv.xs.FullDVFactory,92,32768,false,38,45,0,false,false
xerces,org.apache.xerces.impl.dv.xs.HexBinaryDV,61,32768,false,33,19,0,false,false
xerces,org.apache.xerces.impl.dv.xs.HexBinaryDV$XHex,54,32768,false,26,19,0,false,false
xerces,org.apache.xerces.impl.dv.xs.IDDV,76,32768,false,36,31,0,false,false
xerces,org.apache.xerces.impl.dv.xs.IDREFDV,69,32768,false,37,23,0,false,false
xerces,org.apache.xerces.impl.dv.xs.IntegerDV,40,32768,false,19,12,0,false,false
xerces,org.apache.xerces.impl.dv.xs.ListDV,49,32768,false,32,8,0,false,false
xerces,org.apache.xerces.impl.dv.xs.ListDV$ListData,85,32768,false,51,25,0,false,false
xerces,org.apache.xerces.impl.dv.xs.MonthDV,111,32768,false,56,46,0,false,false
xerces,org.apache.xerces.impl.dv.xs.MonthDayDV,113,32768,false,57,47,0,false,false
xerces,org.apache.xerces.impl.dv.xs.PrecisionDecimalDV,88,32768,false,55,24,0,false,false
xerces,org.apache.xerces.impl.dv.xs.PrecisionDecimalDV$XPrecisionDecimal,186,32768,false,120,57,0,false,false
xerces,org.apache.xerces.impl.dv.xs.QNameDV,69,32768,false,32,28,0,false,false
