subject,seed,solution_id,mojofm_vs_reference,weighted_modularity,coupling,cohesion,imbalance,cluster_count,singleton_count,max_cluster_size,feasible,is_injected_seed,acceptable_strict,acceptable_lenient
daytrader,15,seed15_solution065,19.565217391304344,0.0587960275935785,0.6217712177121771,38.10264669970552,0.7433100227770645,7,0,18,True,False,False,False
daytrader,15,seed15_solution066,19.565217391304344,0.1271004318092075,0.6268450184501845,6.6793650793650805,0.2823892367376559,9,0,8,True,False,False,False
daytrader,15,seed15_solution067,17.391304347826086,0.0546313324641548,0.6273062730627307,37.92706658420944,0.5942647452084386,7,0,15,True,False,False,False
daytrader,15,seed15_solution068,13.043478260869568,-0.0123548367056549,0.6503690036900369,1.7060113519091846,0.0962079153508072,3,0,20,True,False,False,False
daytrader,15,seed15_solution069,19.565217391304344,0.0573860947903758,0.6545202952029521,13.549659863945578,0.5641477882160775,7,0,15,True,False,False,False
daytrader,15,seed15_solution070,21.73913043478261,0.1081662278223336,0.6568265682656826,5.858864151721294,0.253139771037712,7,0,11,True,False,False,False
daytrader,15,seed15_solution071,10.869565217391308,-0.006921904147547,0.6586715867158671,1.6437908496732028,0.0266832747617565,3,0,18,True,False,False,False
daytrader,15,seed15_solution072,28.26086956521739,0.119069644340355,0.6614391143911439,15.596031746031748,0.4547913506865641,10,1,9,True,False,False,False
daytrader,15,seed15_solution073,13.043478260869568,-0.0065763886997726,0.6614391143911439,1.8063037495700032,0.0705973091844139,3,0,19,True,False,False,False
daytrader,15,seed15_solution074,10.869565217391308,-0.010550454616631,0.6628228782287823,1.7334737988762756,0.053366549523513,3,0,19,True,False,False,False
daytrader,15,seed15_solution075,13.043478260869568,-0.010550454616631,0.6628228782287823,1.7066993464052287,0.0266832747617565,3,0,18,True,False,False,False
daytrader,15,seed15_solution076,28.26086956521739,0.1135212917512018,0.665129151291513,15.268571428571429,0.3962264150943396,10,0,8,True,False,False,False
daytrader,15,seed15_solution077,17.391304347826086,0.0476223048093026,0.6669741697416974,44.32323403720462,0.596954415832316,6,0,17,True,False,False,False
daytrader,15,seed15_solution078,23.913043478260864,0.107129894234828,0.6720479704797048,6.037037037037036,0.2184120170337778,9,0,8,True,False,False,False
daytrader,15,seed15_solution079,19.565217391304344,0.0401909568565242,0.6771217712177122,44.10530303030302,0.5484695039150427,6,0,16,True,False,False,False
daytrader,15,seed15_solution080,21.73913043478261,0.0875223180852657,0.6798892988929889,5.317460317460317,0.1687598473584746,9,0,7,True,False,False,False
