stage,focal_cluster_id,source_class,target_class,weight
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.XSWildcardDecl,2
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.impl.xs.util.XS10TypeHelper,2
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.xs.XSObject,4
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.xs.XSObjectList,8
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.xs.XSSimpleTypeDefinition,6
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator,org.apache.xerces.xs.XSTypeDefinition,28
stage2,C13,org.apache.xerces.impl.xs.XMLSchemaValidator$ValueStoreCache,org.apache.xerces.impl.xs.XSElementDecl,1
stage2,C13,org.apache.xerces.impl.xs.XSAnnotationImpl,org.apache.xerces.impl.xs.identity.IdentityConstraint,2
stage2,C13,org.apache.xerces.impl.xs.XSAnnotationImpl,org.apache.xerces.parsers.AbstractDOMParser,4
stage2,C13,org.apache.xerces.impl.xs.XSAnnotationImpl,org.apache.xerces.parsers.AbstractSAXParser,6
stage2,C13,org.apache.xerces.impl.xs.XSAnnotationImpl,org.apache.xerces.parsers.DOMParser,2
stage2,C13,org.apache.xerces.impl.xs.XSAnnotationImpl,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.xs.XSAttributeDecl,org.apache.xerces.xni.QName,1
stage2,C13,org.apache.xerces.impl.xs.XSAttributeDecl,org.apache.xerces.xs.ShortList,1
stage2,C13,org.apache.xerces.impl.xs.XSAttributeDecl,org.apache.xerces.xs.XSNamespaceItem,3
stage2,C13,org.apache.xerces.impl.xs.XSAttributeDecl,org.apache.xerces.xs.XSValue,1
stage2,C13,org.apache.xerces.impl.xs.XSAttributeGroupDecl,org.apache.xerces.impl.xs.traversers.XSDAttributeGroupTraverser,8
stage2,C13,org.apache.xerces.impl.xs.XSAttributeGroupDecl,org.apache.xerces.xs.XSNamespaceItem,3
stage2,C13,org.apache.xerces.impl.xs.XSAttributeUseImpl,org.apache.xerces.xs.ShortList,1
stage2,C13,org.apache.xerces.impl.xs.XSAttributeUseImpl,org.apache.xerces.xs.XSNamespaceItem,1
stage2,C13,org.apache.xerces.impl.xs.XSAttributeUseImpl,org.apache.xerces.xs.XSValue,1
stage2,C13,org.apache.xerces.impl.xs.XSComplexTypeDecl,org.apache.xerces.impl.xs.models.CMBuilder,11
stage2,C13,org.apache.xerces.impl.xs.XSComplexTypeDecl,org.apache.xerces.impl.xs.models.XSCMValidator,6
stage2,C13,org.apache.xerces.impl.xs.XSComplexTypeDecl,org.apache.xerces.xs.XSNamespaceItem,3
stage2,C13,org.apache.xerces.impl.xs.XSConstraints,org.apache.xerces.impl.xs.models.CMBuilder,1
stage2,C13,org.apache.xerces.impl.xs.XSConstraints,org.apache.xerces.impl.xs.models.XSCMValidator,2
stage2,C13,org.apache.xerces.impl.xs.XSConstraints,org.apache.xerces.impl.xs.models.XSDFACM,2
