subject,seed,method,reference_status,reference_path,reference_source,reference_coverage,evaluation_policy,mojofm_vs_reference,pairwise_precision,pairwise_recall,pairwise_f1,ari_vs_reference,nmi_vs_reference,reference_coverage_ratio
daytrader,18,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.1878453038674033071,0.18888888888888888395,0.18836565096952911924,0.066028526618212429744,0.45433979120514167427,1
daytrader,19,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.14285714285714284921,0.15555555555555555802,0.14893617021276597812,0.014764236942766231428,0.36629989362135406683,1
daytrader,19,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16019417475728156552,0.18333333333333332038,0.17098445595854921963,0.036675201202408309886,0.38614386434487690813,1
daytrader,19,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.184079601990049746,0.20555555555555554692,0.19422572178477690019,0.065418041877090424285,0.43380035799700100707,1
daytrader,20,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16666666666666665741,0.2000000000000000111,0.18181818181818179547,0.045853208185874745617,0.4112332602429887296,1
daytrader,20,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,21.739130434782605761,0.15748031496062991907,0.22222222222222220989,0.1843317972350230205,0.037109267052497764416,0.28373775512354765249,1
daytrader,20,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,19.565217391304344119,0.10824742268041237514,0.11666666666666666852,0.11229946524064171598,-0.02685328999937154279,0.35437829417338456706,1
daytrader,21,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.1712962962962963076,0.20555555555555554692,0.1868686868686868785,0.051743003197073048072,0.41585774724674950953,1
daytrader,21,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16591928251121076943,0.20555555555555554692,0.18362282878411911868,0.045662177352469399128,0.37938421081198664409,1
daytrader,21,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16753926701570681645,0.17777777777777778456,0.17250673854447440281,0.043916307703433840604,0.41066004650404269727,1
daytrader,22,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16666666666666665741,0.17777777777777778456,0.17204301075268818577,0.04300377004527661251,0.42832512967876523735,1
daytrader,22,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.16822429906542055167,0.2000000000000000111,0.18274111675126905596,0.047599014363843977771,0.41213180062783927315,1
daytrader,22,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,17.39130434782608603,0.091346153846153840816,0.10555555555555555525,0.097938144329896892337,-0.048970821081203354252,0.28853358666412959321,1
daytrader,23,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,15.217391304347827941,0.11297071129707113302,0.14999999999999999445,0.12887828162291167788,-0.023665796939809753685,0.28445670666703737339,1
daytrader,23,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.15909090909090908839,0.19444444444444444753,0.17500000000000001665,0.036567796610169490956,0.38960744791308959956,1
daytrader,23,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16818181818181818232,0.20555555555555554692,0.18500000000000002554,0.048245762711864405292,0.41033492097524948417,1
daytrader,24,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.16748768472906402915,0.18888888888888888395,0.17754569190600519302,0.045357977013112109332,0.42103708599805811374,1
daytrader,24,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,23.91304347826086385,0.15384615384615385469,0.17777777777777778456,0.16494845360824741953,0.028952725627686037163,0.38551133794579645064,1
daytrader,24,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.16666666666666665741,0.17222222222222222099,0.16939890710382513039,0.042241671010635854777,0.42334081526275724183,1
daytrader,25,stage2,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,26.08695652173913615,0.17535545023696683109,0.20555555555555554692,0.1892583120204603675,0.056201089798158306021,0.39457021799581587507,1
daytrader,25,stage3a,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,21.739130434782605761,0.14159292035398229892,0.17777777777777778456,0.15763546798029556828,0.014289658403540616075,0.36742438701718238558,1
daytrader,25,stage3b,available,data/references/daytrader_reference_services.csv,repository domain-informed proxy reference; not ground truth,1,saved selected partition only; no reselection,28.260869565217394239,0.18918918918918919969,0.23333333333333333703,0.20895522388059700747,0.075589195757284247112,0.40702543615287090084,1
