subject,class_id,stage3a_source_path,stage3a_text_hash,stage3b_declaration_hash,exact_match
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.LoginValidator,data/semantic_inputs/daytrader_class_declarations.csv,c32c34c8b21acf508805d02f76b762068742452c7c38a20fcdfb1002531a68ca,c32c34c8b21acf508805d02f76b762068742452c7c38a20fcdfb1002531a68ca,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.MarketSummaryJSF,data/semantic_inputs/daytrader_class_declarations.csv,b993776901ea25956839514f9bc4167f25110ae7ce97e482fed6583815adc7a9,b993776901ea25956839514f9bc4167f25110ae7ce97e482fed6583815adc7a9,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.OrderData,data/semantic_inputs/daytrader_class_declarations.csv,f5d70a04f3e76bbc0a742b4be8eaffc786d4f03bb5cfc3bacc2ca4d129020d84,f5d70a04f3e76bbc0a742b4be8eaffc786d4f03bb5cfc3bacc2ca4d129020d84,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.OrderDataJSF,data/semantic_inputs/daytrader_class_declarations.csv,6f6185d3d371430468e930cbf320195ff438ce3f8c518b352be7e58534216c13,6f6185d3d371430468e930cbf320195ff438ce3f8c518b352be7e58534216c13,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.PortfolioJSF,data/semantic_inputs/daytrader_class_declarations.csv,6d99cfe661cf7fb2d5f26e23b40798585d64319d63a530b9067da8b7ce6ea506,6d99cfe661cf7fb2d5f26e23b40798585d64319d63a530b9067da8b7ce6ea506,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.QuoteData,data/semantic_inputs/daytrader_class_declarations.csv,0f6f6049b9c714e355cf03efbec5f9e2883315049a6506c8fc8bc7ffc40be36d,0f6f6049b9c714e355cf03efbec5f9e2883315049a6506c8fc8bc7ffc40be36d,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.QuoteJSF,data/semantic_inputs/daytrader_class_declarations.csv,b0c3916f092940e14d25e45ab633463056cf3477245e18d2784f37cfc38c145b,b0c3916f092940e14d25e45ab633463056cf3477245e18d2784f37cfc38c145b,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeActionProducer,data/semantic_inputs/daytrader_class_declarations.csv,4277db18ed7ead0dbd11694747de529e6445a9913d4128db077bbcfc4995751a,4277db18ed7ead0dbd11694747de529e6445a9913d4128db077bbcfc4995751a,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeAppJSF,data/semantic_inputs/daytrader_class_declarations.csv,2543e97405d6998464b4194d8e699a912bba4c764f3df5147a5d5682ada39c19,2543e97405d6998464b4194d8e699a912bba4c764f3df5147a5d5682ada39c19,true
daytrader,com.ibm.websphere.samples.daytrader.web.jsf.TradeConfigJSF,data/semantic_inputs/daytrader_class_declarations.csv,8ff43f56d896f403f186b666ae271e4414c1a4b52de2fb376f9ab5a24b364ad7,8ff43f56d896f403f186b666ae271e4414c1a4b52de2fb376f9ab5a24b364ad7,true
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionDecoder,data/semantic_inputs/daytrader_class_declarations.csv,4f1ade6b8ee5d528e11a33caab76f938b8f815c0d6abae7de7fee37ec0251965,4f1ade6b8ee5d528e11a33caab76f938b8f815c0d6abae7de7fee37ec0251965,true
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage,data/semantic_inputs/daytrader_class_declarations.csv,3948a340df804c01c2a4d36caa6994f81fbbb944ad6559b40402a81f8aed7b64,3948a340df804c01c2a4d36caa6994f81fbbb944ad6559b40402a81f8aed7b64,true
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.ActionMessage$1,data/semantic_inputs/daytrader_class_declarations.csv,57d3596e7f4560971733d7ac639f5f8ee8492847b62455152d3430a62e2994f9,57d3596e7f4560971733d7ac639f5f8ee8492847b62455152d3430a62e2994f9,true
daytrader,com.ibm.websphere.samples.daytrader.web.websocket.JsonDecoder,data/semantic_inputs/daytrader_class_declarations.csv,a14ca8dd66bf5ba6c61a10183b4bbe6b10c2380299efc4546a241e5b1b211835,a14ca8dd66bf5ba6c61a10183b4bbe6b10c2380299efc4546a241e5b1b211835,true
