subject,class_id,body_token_count,invoked_method_token_count,field_token_count,local_token_count,exception_token_count,string_token_count,operation_token_count,invoked_method_proportion,field_proportion,string_proportion,embedding_shift_cosine_distance,neighbour_retention,stage3b_degree,neighbour_change,incident_stage3b_edge_count,incident_structural_overlap_count,incident_structural_overlap_ratio
xerces,org.apache.xerces.dom.AttributeMap,77,81,162,11,52,27,366,1.051948051948052,2.103896103896104,0.35064935064935066,0.168685054452,0.6666666666666666,3,0.33333333333333337,3,2,0.6666666666666666
xerces,org.apache.xerces.dom.CDATASectionImpl,6,4,0,0,0,1,1,0.6666666666666666,0.0,0.16666666666666666,0.16564573698100005,0.6666666666666666,3,0.33333333333333337,3,1,0.3333333333333333
xerces,org.apache.xerces.dom.CharacterDataImpl,52,58,35,2,36,18,157,1.1153846153846154,0.6730769230769231,0.34615384615384615,0.155364526786,0.6666666666666666,5,0.33333333333333337,5,2,0.4
xerces,org.apache.xerces.dom.CharacterDataImpl$1,3,2,0,0,0,0,1,0.6666666666666666,0.0,0.0,0.193165489184,0.6666666666666666,4,0.33333333333333337,4,1,0.25
xerces,org.apache.xerces.dom.ChildNode,21,18,18,0,0,0,20,0.8571428571428571,0.8571428571428571,0.0,0.258660626681,0.6666666666666666,3,0.33333333333333337,3,2,0.6666666666666666
xerces,org.apache.xerces.dom.CommentImpl,5,4,0,0,0,0,1,0.8,0.0,0.0,0.20942128900400003,0.3333333333333333,3,0.6666666666666667,3,1,0.3333333333333333
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl,115,48,664,9,28,122,368,0.41739130434782606,5.773913043478261,1.0608695652173914,0.14543957498799998,0.6666666666666666,3,0.33333333333333337,3,2,0.6666666666666666
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$RevalidationHandlerHolder,2,0,1,0,0,0,1,0.0,0.5,0.0,0.22408263593800004,1.0,3,0.0,3,1,0.3333333333333333
xerces,org.apache.xerces.dom.CoreDOMImplementationImpl$XMLDTDLoaderHolder,2,0,1,0,0,0,1,0.0,0.5,0.0,0.22454382267499995,0.3333333333333333,4,0.6666666666666667,4,1,0.25
xerces,org.apache.xerces.dom.CoreDocumentImpl,256,347,433,67,100,119,1158,1.35546875,1.69140625,0.46484375,0.13242883072099998,0.3333333333333333,9,0.6666666666666667,9,7,0.7777777777777778
xerces,org.apache.xerces.dom.DOMConfigurationImpl,221,78,224,803,18,215,716,0.35294117647058826,1.0135746606334841,0.9728506787330317,0.17774628932299996,0.6666666666666666,5,0.33333333333333337,5,0,0.0
xerces,org.apache.xerces.dom.DOMErrorImpl,22,15,20,4,0,0,13,0.6818181818181818,0.9090909090909091,0.0,0.149388580241,0.6666666666666666,4,0.33333333333333337,4,3,0.75
xerces,org.apache.xerces.dom.DOMImplementationImpl,17,7,2,0,0,13,63,0.4117647058823529,0.11764705882352941,0.7647058823529411,0.19716695670399997,1.0,8,0.0,8,6,0.75
xerces,org.apache.xerces.dom.DOMImplementationListImpl,11,3,5,0,0,0,12,0.2727272727272727,0.45454545454545453,0.0,0.18685293536299996,1.0,5,0.0,5,2,0.4
xerces,org.apache.xerces.dom.DOMImplementationSourceImpl,17,10,0,0,0,0,68,0.5882352941176471,0.0,0.0,0.17707418361500005,1.0,3,0.0,3,3,1.0
xerces,org.apache.xerces.dom.DOMInputImpl,24,26,114,0,0,0,5,1.0833333333333333,4.75,0.0,0.14921224817199996,1.0,3,0.0,3,0,0.0
xerces,org.apache.xerces.dom.DOMLocatorImpl,18,10,90,0,0,0,5,0.5555555555555556,5.0,0.0,0.22533026143699997,0.6666666666666666,5,0.33333333333333337,5,1,0.2
