subject,seed,stage3a_projected_hv,stage3b_projected_hv,delta_hv_stage3b_minus_stage3a,stage3a_selected_f_semantic_on_stage3a,stage3a_selected_f_semantic_on_stage3b,stage3b_selected_f_semantic_on_stage3a,stage3b_selected_f_semantic_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3b,delta_selected_f_semantic_stage3b_minus_stage3a_on_stage3a,stage3a_selected_solution_id,stage3b_selected_solution_id,stage3a_selected_ari_vs_leiden,stage3a_selected_nmi_vs_leiden,stage3a_selected_equals_leiden,stage3b_selected_ari_vs_leiden,stage3b_selected_nmi_vs_leiden,stage3b_selected_equals_leiden,stage3a_vs_stage3b_selected_ari,stage3a_vs_stage3b_selected_nmi,stage3a_vs_stage3b_selected_partition_equal,stage3a_front_size,stage3b_front_size,stage3a_projected_front_size,stage3b_projected_front_size,reference_status
daytrader,6,0.21245384488595003836,0.18445799283965205739,-0.027995852046297980964,0.58734048407280514681,0.58033680866914505447,0.57459484323458720478,0.59149350778491271985,0.011156699115767665376,-0.012745640838217942026,seed6_solution037,seed6_solution030,0.87392969571961454101,0.91032134458540026056,False,0.91117051221996370192,0.9476074836898393805,False,0.7827470865202292849,0.85839842234763708007,False,100,99,63,61,available
daytrader,7,0.18759653427870418008,0.15842834709545519645,-0.029168187183248983629,0.60959734162017875647,0.61808620232641886538,0.54758102429716359882,0.54686906915457833556,-0.071217133171840529826,-0.062016317323015157648,seed7_solution029,seed7_solution038,0.88180878704327414486,0.90934852085614203965,False,0.9458886358281630713,0.96958969495127100835,False,0.82945966683992966573,0.87823561689376705708,False,100,100,69,76,available
daytrader,8,0.15997108329888204414,0.13828999457173357657,-0.021681088727148467576,0.55345097629808248652,0.55948671001884098253,0.76422795110704866417,0.78253928018257001842,0.22305257016372903589,0.21077697480896617765,seed8_solution029,seed8_solution042,0.94477932398857711327,0.96922586856426751201,False,0.19305890193263958166,0.48068850337039409348,False,0.16957014740748374559,0.45662304875423076478,False,100,100,80,68,available
daytrader,9,0.16996535455308833806,0.19956088755442236149,0.029595533001334023426,0.56726000216527805442,0.59655965990862980242,0.55761467895454053245,0.55062324798047634911,-0.04593641192815345331,-0.0096453232107375219684,seed9_solution044,seed9_solution034,0.58496459559190194799,0.71674782865707997725,False,0.88034901205023396997,0.93070324088999345502,False,0.53395337601159564844,0.67835258068195380954,False,100,100,69,66,available
daytrader,10,0.17205622578187604321,0.18053186709280866218,0.0084756413109326189659,0.57978112502871870237,0.58106778351958277007,0.54677958588086472691,0.53444077439510162542,-0.046627009124481144653,-0.033001539147853975464,seed10_solution030,seed10_solution032,0.96312459087933666169,0.96030329895326982381,False,0.81681806280086211025,0.89062680796051518772,False,0.82804954860382107285,0.87722235428221506659,False,98,100,73,67,available
daytrader,11,0.18523205737647480129,0.2005953967264968163,0.015363339350022015006,0.5731195078574634616,0.56390450154937288296,0.57604466031510881407,0.56736347025748856687,0.0034589687081156839099,0.0029251524576453524773,seed11_solution030,seed11_solution030,0.89658159611285748181,0.93047775030054791223,False,0.89112581197603257799,0.90809334383029027826,False,0.79514310949428523845,0.85165087008598450158,False,100,100,77,67,available
daytrader,12,0.17426488255865282828,0.19045575132894798642,0.016190868770295158141,0.60465663816365511352,0.60239830485060008591,0.56961745521276818671,0.58889642725379909294,-0.013501877596800992976,-0.035039182950886926804,seed12_solution030,seed12_solution031,0.85150012975759525879,0.9007378186075813975,False,0.83129214998651201896,0.90672557944021692222,False,0.75424112191811809591,0.84208221685271988921,False,100,100,68,76,available
daytrader,13,0.21789904455186887011,0.21195197190032655232,-0.0059470726515423177894,0.599675955916657899,0.6215721033462142664,0.62965821395447330033,0.60267144867585353829,-0.018900654670360728105,0.02998225803781540133,seed13_solution036,seed13_solution032,0.84651813227838434983,0.89620793121081099297,False,0.80028062628392826472,0.87046653622629854841,False,0.74084361502056339521,0.8419643592240489971,False,100,100,72,68,available
daytrader,14,0.17258608981443640529,0.18555143757204145549,0.012965347757605050205,0.55161749123258585481,0.56093191610184378604,0.55161749123258585481,0.56093191610184378604,0,0,seed14_solution022,seed14_solution029,0.96068137073073300858,0.9763601795646279502,False,0.94449032206086724894,0.96852148428382234258,False,0.97836471470233821179,0.97824202911442748043,False,100,100,62,77,available
daytrader,15,0.19196141668013888548,0.19323189657653430662,0.0012704798963954211377,0.54886894982556799771,0.55870967380598801633,0.54758102429716359882,0.54686906915457833556,-0.01184060465140968077,-0.0012879255284043988894,seed15_solution035,seed15_solution029,0.90953217984285983366,0.94743700655128781918,False,0.9458886358281630713,0.96958969495127100835,False,0.95972980645592242954,0.97677389341032072601,False,100,100,68,67,available
