class_id,input_hash,embedding_sha256
org.jfree.chart.axis.DateTickUnit,fcff8339d9d6605773efa31ae170b3d648e6bcc782e8c048cc06fef5d5c9b40b,06446edb6f35708bbca9ac752564ed017b31f7af3339450578214d9d2a73f7ad
org.jfree.chart.axis.DateTickUnitType,f2d6575d6796b161b194b4adefde488a01d507b50dbec3c70b2bfae84e996b8f,1ff58f32bbf5c408a9df4b100b07061bd7d36f7fde4c0285f2174d490862ec2c
org.jfree.chart.axis.ExtendedCategoryAxis,1232838e16dcccba5aaa0d927bdb8ecc607a4a4f7e28fc721a86294569c9052e,40b78ba4934805eab38e7976ede259e0b89aff1d8b5b073a2d97e26815a95500
org.jfree.chart.axis.LogAxis,f84c8ca4ec959676bdbd20ec62e3236b4ec5bca56eb83efce32b0d27cf63ce8d,bee4ee96fbe31c5e55747dc65f572a65e7446fac53d23526540c02075336532f
org.jfree.chart.axis.LogTick,44016e40b7e92947d2c0cce646e8ce3bd837c5003a58b5998a6fdb60c968dbfa,0ec47191eba6e72244148961e477ec8469d4e69304ad13561e361cd10205a225
org.jfree.chart.axis.LogarithmicAxis,d49c6b0456328de4410a4896565743d532aa5e6d68c43cb4c4ba2b24d10e1454,584133e8fd54fa0158bae3495f0d0e34028e2bb43de2bd73f2be26d2ad242213
org.jfree.chart.axis.MarkerAxisBand,77796d500c4805db971783f91563a4ab7ae1fc52c904116fbb64a28913300699,40bbb188a93d33714892df58d850d01ba03ddad6ada16b989fe28899f8da2dac
org.jfree.chart.axis.ModuloAxis,eb878e3f8ed7e7b61f749c559df4a2a6c90af56c4713e834ca267e8a61137177,f6bfd785f3dcdd0f823670936b24ce8e4c05b48ef428ccad3b0ee528c08de485
org.jfree.chart.axis.MonthDateFormat,e533ab8f58cf32ed0d0222901cb4fa26cb00ea1153d73b641c9ca0e1d058563d,704aca909f239ca757162b0f89fd03874aa458f091655693e49a814bad85ff54
org.jfree.chart.axis.NumberAxis,aec92f3a396df5d205fbbe0fd0d04e67c78f94101cfc4be79877d78a046f4e2f,ca181e966bc2b727839105bb152043fc0f454aaef8b7c367f0f28238059fdea2
org.jfree.chart.axis.NumberAxis3D,4f42ccc2c9fc4d2788e92245c05750b4fbab1e3ef033c2b2bb2472d6167e4f1d,302e3cd34f9639587ac3710bfc7953272e73999991c5446e283fc38cf9fc43d0
org.jfree.chart.axis.NumberTick,056a4d54548472948f7e1b72f94a072d8be79009c070df72b445ae4e6cbb5caf,ada1452cee5085b78be6c37999c975c13e7b0cd952376f20ddf20efecd352e33
org.jfree.chart.axis.NumberTickUnit,ed7c96ccbdb5a14571af9f1ffdc171e91e213bf91259470f0366346ffa09ea2e,27c7738b9d6eaa0f5dff9d55d4d979ceeb8c0a7976c46db7ff14c8149425778a
org.jfree.chart.axis.NumberTickUnitSource,a8337f14faeb98a4c95213efd133a6dae7c95c6a8d1ff817619eac596515bf95,d8349852a03094ea3b13676965b4a951e4c78a4dd50c822809b4f23a07c096d5
org.jfree.chart.axis.PeriodAxis,083f3be16972514a76119ab2793933ca3aa7ad52a7c4ea27399c994804a2e0d6,ee1f1c9b2e1c0079165fe01855411d76050e74bf6057ee7cd75cd9dc9efa596e
org.jfree.chart.axis.PeriodAxisLabelInfo,57b81dc6f7c04ceec1b8b10092d69a8d27d80ecd1fe2b3739993dbc238302e0e,9dfe013efcbb80a83d7f9ad53ec3031e6a27a282a2cd914c2568371c6525e1b1
org.jfree.chart.axis.QuarterDateFormat,ab72bcff5bf4b341c56ce11ff90ba61c33d515114f2a18261c21289dd60f9637,ad1868979e48959e8f99382c4aafadf39c690272e3d2fda1a06c7c082b96029a
org.jfree.chart.axis.SegmentedTimeline,64f27b0fbbd606f384a190d1dfdc63faf53b3ad81f0b15b7118103f9bd4a4fa6,df28036fe8d5a09a54d926df0ca952223fdb92cd13ce4e816ac466284374fe00
org.jfree.chart.axis.SegmentedTimeline$BaseTimelineSegmentRange,546e9c001a2fe609f68d73ff5f73c1ab153f57d9e541889f78b1eca7d2e6a01c,be585ad5cd74ecfd639db039f5b6b3147cc35449a23af85a25cbf7d3601cfa33
org.jfree.chart.axis.SegmentedTimeline$Segment,309a03255e3a5ab13269dc7660c22a6c5231ea67692685be2e0e7df416ed72ef,b20e98e544d0859a4e1b640a36c84cfb3e4cd57754fc35339d4d30b0f06d2125
org.jfree.chart.axis.SegmentedTimeline$SegmentRange,c7e09ac6a0b723ff3419afe15eba75c3c7310af619da964640891e26a163ec3f,86a757e5fb4df8d9af8303860c6209b252ef026363417410b70d8950c3dfb39e
org.jfree.chart.axis.StandardTickUnitSource,e32a583c374e98506166a851a1e25eb7a10e4830a67789a7122c15fc73695915,9d95cad33bfe3e87064bf10ccdf1ba60e60ac36575569f17000fb40dff302d40
org.jfree.chart.axis.SubCategoryAxis,7cfac77b857e5e95f8b76b414654500d50564dd33fee19c7f23deea687785380,007ae37385e088c5ab04eada4c4d7eb4e1cbdd1803f82eb2a55e4ab6e55311d5
org.jfree.chart.axis.SymbolAxis,143346050026aa33609a1280ccb5a86df17404c5a85d3d3308e630665e0530ca,df990e6d844e64b5e51d1907d4f942d1dced2575439915a22703bb5dd9d8696a
org.jfree.chart.axis.Tick,49f5b228786ad0f34d9c0e8b7b0fb6c548cf1cfc4e772524c8d42123491bca20,d145bb8c18e92091cd7cb685a71078a4febd2bb37be14728eb4089fe9fe986ae
org.jfree.chart.axis.TickType,3d3710f0b8d92321f754849510bb4b56dff3afdf249036a0b7353dcab384b2d2,64d39eb62a521cafeaef2613a66bb8acb2efe808e09820fb34f906bcb8b3caf9
org.jfree.chart.axis.TickUnit,7ece1e8fd83a415edafabb475f3c4d6fa475aafbb811241f3b04fc483675605a,7d91eb38bfb2479a26550eca46a0e243147f10125f235943ccc302205f6f8c45
org.jfree.chart.axis.TickUnitSource,71119430b1398ea1652e0f5ea4570387524af2f143e6b6772c1038c2e0e8a15a,45392ae7bce29855319889affccce68d3a2b868d62f91980267e205d9dc586de
