stage,subject,profile,metric,reference_status,available_n,median,mean,iqr,median_delta_vs_leiden,mean_delta_vs_leiden,median_delta_vs_conservative,mean_delta_vs_conservative,mean_delta_vs_stage2_conservative,mean_delta_vs_stage3_conservative
stage2,xerces,knee_native,ari_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,knee_native,nmi_vs_reference,unavailable,0,,,,,,,,,
stage2,xerces,knee_native,reference_coverage_ratio,unavailable,0,,,,,,,,,
stage3,daytrader,budgeted_balance_0.050,mojofm_vs_reference,available,19,26.08695652173913615,25.057208237986273502,2.1739130434782723,2.1739130434782723,1.1441647597254063218,0,-0.22883295194508049275,1.5064836003051134128,0.85430968726163314386
stage3,daytrader,budgeted_balance_0.050,pairwise_precision,available,19,0.16923076923076921241,0.17358142956934560774,0.018163888017460501356,0.0017430845017051999502,0.0060937448402816002738,0,0.0035942771636991001707,0.018461468335167000032,0.01390463824849369999
stage3,daytrader,budgeted_balance_0.050,pairwise_recall,available,19,0.19444444444444439202,0.19707602339181279349,0.01944444444444439965,0.0055555555555555002564,0.0081871345029239008667,0,0.0043859649122806997762,0.018372319688109099017,0.011520467836257200153
stage3,daytrader,budgeted_balance_0.050,pairwise_f1,available,19,0.18499999999999999778,0.18436562087572588853,0.019305371440911600622,0.0074543080939948004257,0.0068199289697206998476,0,0.0039583031054322001183,0.018917966758901200164,0.013666323446057599897
stage3,daytrader,budgeted_balance_0.050,ari_vs_reference,available,19,0.048245762711864398353,0.052938564868978500721,0.021531790040622299232,0.0028877856987522001163,0.0075805878558664000627,0,0.0043139319842079998368,0.023335208513412000059,0.016844182839416098341
stage3,daytrader,budgeted_balance_0.050,nmi_vs_reference,available,19,0.41115979939881647232,0.41516197433513107873,0.027970082466494600171,-0.009877286599241499182,-0.0058751116629270003222,0,0.0071008927007318997301,0.039077982819555601157,0.02515276131754829933
stage3,daytrader,budgeted_balance_0.050,reference_coverage_ratio,available,19,1,1,0,0,0,0,0,0,0
stage3,daytrader,budgeted_semantic_0.050,mojofm_vs_reference,available,19,26.08695652173913615,25.171624713958809849,2.1739130434782723,2.1739130434782723,1.2585812356979468873,0,-0.11441647597254039903,1.6209000762776497595,0.96872616323416937956
stage3,daytrader,budgeted_semantic_0.050,pairwise_precision,available,19,0.16923076923076921241,0.1731196243263410095,0.013717106406646499203,0.0017430845017051999502,0.0056319395972770002964,0,0.0031324719206945001934,0.01799966309216239832,0.013442833005489100012
stage3,daytrader,budgeted_semantic_0.050,pairwise_recall,available,19,0.19444444444444439202,0.19590643274853800082,0.01944444444444439965,0.0055555555555555002564,0.0070175438596491003865,0,0.003216374269005799983,0.017202729044834299404,0.01035087719298240054
stage3,daytrader,budgeted_semantic_0.050,pairwise_f1,available,19,0.18362282878411909093,0.18365335438552329861,0.014676199249364699911,0.0060771368781138996457,0.0061076624795181003874,0,0.0032460366152295997907,0.018205700268698599836,0.012954056955855100183
stage3,daytrader,budgeted_semantic_0.050,ari_vs_reference,available,19,0.048245762711864398353,0.052251138766344698561,0.018580202533733700121,0.0028877856987522001163,0.0068931617532325996367,0,0.0036265058815741998445,0.022647782410778201367,0.016156756736782299649
stage3,daytrader,budgeted_semantic_0.050,nmi_vs_reference,available,19,0.42004255993766231869,0.41894821314505781285,0.024462120032109600093,-0.00099452606039570007682,-0.0020888728530003000325,0,0.01088713151065860002,0.04286422162948230058,0.028939000127474998753
stage3,daytrader,budgeted_semantic_0.050,reference_coverage_ratio,available,19,1,1,0,0,0,0,0,0,0
stage3,daytrader,conservative,mojofm_vs_reference,available,30,23.91304347826086385,24.202898550724640359,2.1739130434782723,0,0.28985507246377389956,0,0,0.6521739130434801579,0
stage3,daytrader,conservative,pairwise_precision,available,30,0.1666666666666666019,0.15967679132085191296,0.018247123523366100967,-0.00082101806239729996535,-0.0078108934082119999692,0,0,0.004556830086673200296,0
