subject,stage,seed,four_d_front_size,projected_3d_front_size,population_size_limit_plausible,leiden_in_four_d_front,leiden_dominated_in_four_d,leiden_four_d_dominator_solution_ids,leiden_in_projected_3d_front,leiden_dominated_in_projected_3d,leiden_projected_dominator_solution_ids,leiden_eligible_for_projected_selector,another_eligible_solution_higher_modularity,selected_solution_id,selected_equals_leiden,selected_weighted_modularity,four_d_classification,projected_selection_classification
xerces,stage3b,1,100,83,True,False,True,seed1_solution017,False,True,seed1_solution017,False,False,seed1_solution017,False,0.66151914293437164,absent_dominated,absent_or_not_selected
xerces,stage3b,2,100,86,True,False,False,,False,False,,False,False,seed2_solution014,False,0.66051159611366284,absent_not_dominated,absent_or_not_selected
xerces,stage3b,3,100,79,True,False,False,,False,False,,False,False,seed3_solution013,False,0.66057151256330482,absent_not_dominated,absent_or_not_selected
xerces,stage3b,4,100,86,True,False,False,,False,False,,False,False,seed4_solution017,False,0.66151614119938118,absent_not_dominated,absent_or_not_selected
xerces,stage3b,5,100,78,True,False,False,,False,False,,False,False,seed5_solution015,False,0.66050210798493547,absent_not_dominated,absent_or_not_selected
xerces,stage3b,6,100,72,True,False,True,seed6_solution017,False,True,seed6_solution017,False,False,seed6_solution017,False,0.66151914293437164,absent_dominated,absent_or_not_selected
xerces,stage3b,7,100,84,True,False,False,,False,False,,False,False,seed7_solution013,False,0.65864084788676924,absent_not_dominated,absent_or_not_selected
xerces,stage3b,8,100,80,True,False,False,,False,False,,False,False,seed8_solution016,False,0.66142909874043931,absent_not_dominated,absent_or_not_selected
xerces,stage3b,9,100,84,True,False,False,,False,False,,False,False,seed9_solution013,False,0.65718917742228067,absent_not_dominated,absent_or_not_selected
xerces,stage3b,10,100,91,True,False,False,,False,False,,False,False,seed10_solution018,False,0.66067126608819871,absent_not_dominated,absent_or_not_selected
xerces,stage3b,11,100,83,True,True,False,,True,False,,True,False,seed11_solution013,True,0.66151914293437164,present,present_selected
xerces,stage3b,12,100,88,True,False,False,,False,False,,False,False,seed12_solution013,False,0.66142452130130991,absent_not_dominated,absent_or_not_selected
xerces,stage3b,13,100,85,True,False,True,seed13_solution015,False,True,seed13_solution015,False,False,seed13_solution015,False,0.66151914293437164,absent_dominated,absent_or_not_selected
xerces,stage3b,14,100,86,True,False,False,,False,False,,False,False,seed14_solution014,False,0.66120778693883508,absent_not_dominated,absent_or_not_selected
xerces,stage3b,15,100,85,True,False,False,,False,False,,False,False,seed15_solution015,False,0.65993907015470199,absent_not_dominated,absent_or_not_selected
xerces,stage3b,16,100,86,True,False,False,,False,False,,False,False,seed16_solution015,False,0.66079980153818252,absent_not_dominated,absent_or_not_selected
xerces,stage3b,17,100,88,True,True,False,,True,False,,True,False,seed17_solution010,True,0.66151914293437164,present,present_selected
xerces,stage3b,18,100,82,True,False,False,,False,False,,False,False,seed18_solution011,False,0.65938533191446913,absent_not_dominated,absent_or_not_selected
xerces,stage3b,19,100,86,True,False,False,,False,False,,False,False,seed19_solution012,False,0.66139497447129825,absent_not_dominated,absent_or_not_selected
xerces,stage3b,20,100,86,True,False,False,,False,False,,False,False,seed20_solution013,False,0.66151256723281693,absent_not_dominated,absent_or_not_selected
xerces,stage3b,21,100,82,True,False,False,,False,False,,False,False,seed21_solution016,False,0.65758467295921563,absent_not_dominated,absent_or_not_selected
xerces,stage3b,22,100,83,True,False,False,,False,False,,False,False,seed22_solution015,False,0.66121903145464767,absent_not_dominated,absent_or_not_selected
xerces,stage3b,23,100,87,True,False,True,seed23_solution013,False,True,seed23_solution013,False,False,seed23_solution013,False,0.66151914293437164,absent_dominated,absent_or_not_selected
xerces,stage3b,24,100,79,True,False,True,seed24_solution012,False,True,seed24_solution012,False,True,seed24_solution012,False,0.66204481412551985,absent_dominated,absent_or_not_selected
xerces,stage3b,25,100,83,True,True,False,,True,False,,True,False,seed25_solution013,True,0.66151914293437164,present,present_selected
xerces,stage3b,26,100,86,True,False,False,,False,False,,False,False,seed26_solution017,False,0.66049344181890257,absent_not_dominated,absent_or_not_selected
xerces,stage3b,27,100,81,True,False,False,,False,False,,False,False,seed27_solution020,False,0.66104479024808249,absent_not_dominated,absent_or_not_selected
xerces,stage3b,28,100,85,True,False,False,,False,False,,False,False,seed28_solution013,False,0.64960415570776708,absent_not_dominated,absent_or_not_selected
xerces,stage3b,29,100,87,True,False,False,,False,False,,False,False,seed29_solution010,False,0.66122506510736312,absent_not_dominated,absent_or_not_selected
