profile_family,stage,subject,budget,permitted_loss,selected_count,median_realised_loss,mean_realised_loss,iqr_realised_loss,maximum_realised_loss,solutions_above_leiden,solutions_equal_leiden_within_tolerance
stage3_semantic,stage3a,daytrader,0.14999999999999999,0.14999999999999999,26,0.027562836838060479,0.045005629907419478,0.061722005469701142,0.14441846327287389,0,3
stage3_semantic,stage3a,daytrader,0.20000000000000001,0.20000000000000001,27,0.02982543820696051,0.050456114912397487,0.066572391609629175,0.19216872504182583,0,3
stage3_semantic,stage3a,jpetstore,0,0,28,0,0,0,0,0,28
stage3_semantic,stage3a,jpetstore,0.0050000000000000001,0.0050000000000000001,30,0,0.00032547010432971339,0,0.0048820515649457006,0,28
stage3_semantic,stage3a,jpetstore,0.01,0.01,30,0,0.00032547010432971339,0,0.0048820515649457006,0,28
stage3_semantic,stage3a,jpetstore,0.025000000000000001,0.025000000000000001,30,0,0.0052753279410108506,0.011343184780135315,0.018066349011522449,0,16
stage3_semantic,stage3a,jpetstore,0.050000000000000003,0.050000000000000003,30,0.029737072561904915,0.02624148686512074,0.028956151178105384,0.045676143455085895,0,3
stage3_semantic,stage3a,jpetstore,0.10000000000000001,0.10000000000000001,30,0.06050158252942691,0.059038116318786076,0.037261844836265011,0.097992704504864941,0,0
stage3_semantic,stage3a,jpetstore,0.14999999999999999,0.14999999999999999,30,0.11817598830514205,0.11520653330667061,0.025349776928858564,0.14819233076588909,0,0
stage3_semantic,stage3a,jpetstore,0.20000000000000001,0.20000000000000001,30,0.16660000965377433,0.16136605503111051,0.042031843664021074,0.19577854241799481,0,0
stage3_semantic,stage3a,xerces,0,0,11,0,-9.5624461036118615e-05,6.6372656584006085e-05,0,4,7
stage3_semantic,stage3a,xerces,0.0050000000000000001,0.0050000000000000001,26,0.00050187629930604203,0.00089883150249332354,0.0015570646910538022,0.004444269158523563,3,4
stage3_semantic,stage3a,xerces,0.01,0.01,29,0.0012817117315939129,0.0018780681749743795,0.0023400203750986131,0.0078409293760469765,3,3
stage3_semantic,stage3a,xerces,0.025000000000000001,0.025000000000000001,30,0.0013230173709078428,0.00221366306995945,0.0023447481760608064,0.011945915024526474,3,3
