subject,seed,budget,source_stage,evaluation_graph,solution_id,f_semantic,semantic_improvement_vs_same_graph_leiden,evaluation_policy
jpetstore,10,0.0050000000000000001,stage3a,stage3b,seed10_solution002,0.51211372451079618,0.00028568306551810235,post-hoc matched partition; no reselection
jpetstore,10,0.01,stage3a,stage3a,seed10_solution002,0.60061837755350822,-0.003060759904898327,post-hoc matched partition; no reselection
jpetstore,10,0.01,stage3a,stage3b,seed10_solution002,0.51211372451079618,0.00028568306551810235,post-hoc matched partition; no reselection
jpetstore,10,0.025000000000000001,stage3a,stage3a,seed10_solution002,0.60061837755350822,-0.003060759904898327,post-hoc matched partition; no reselection
jpetstore,10,0.025000000000000001,stage3a,stage3b,seed10_solution002,0.51211372451079618,0.00028568306551810235,post-hoc matched partition; no reselection
jpetstore,10,0.050000000000000003,stage3a,stage3a,seed10_solution013,0.55222241383003645,0.077762761257623478,post-hoc matched partition; no reselection
jpetstore,10,0.050000000000000003,stage3a,stage3b,seed10_solution013,0.48394775749914676,0.055269408601771784,post-hoc matched partition; no reselection
jpetstore,10,0.10000000000000001,stage3a,stage3a,seed10_solution006,0.54359043565083698,0.092178568225066732,post-hoc matched partition; no reselection
jpetstore,10,0.10000000000000001,stage3a,stage3b,seed10_solution006,0.51054020657839572,0.0033574000097897653,post-hoc matched partition; no reselection
jpetstore,10,0.14999999999999999,stage3a,stage3a,seed10_solution006,0.54359043565083698,0.092178568225066732,post-hoc matched partition; no reselection
jpetstore,10,0.14999999999999999,stage3a,stage3b,seed10_solution006,0.51054020657839572,0.0033574000097897653,post-hoc matched partition; no reselection
jpetstore,10,0.20000000000000001,stage3a,stage3a,seed10_solution008,0.50555761472578231,0.15569515660154143,post-hoc matched partition; no reselection
jpetstore,10,0.20000000000000001,stage3a,stage3b,seed10_solution008,0.46454302179319384,0.093150041697676836,post-hoc matched partition; no reselection
jpetstore,11,0,stage3a,stage3a,seed11_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,11,0,stage3a,stage3b,seed11_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,11,0.0050000000000000001,stage3a,stage3a,seed11_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,11,0.0050000000000000001,stage3a,stage3b,seed11_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,11,0.01,stage3a,stage3a,seed11_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,11,0.01,stage3a,stage3b,seed11_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,11,0.025000000000000001,stage3a,stage3a,seed11_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,11,0.025000000000000001,stage3a,stage3b,seed11_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,11,0.050000000000000003,stage3a,stage3a,seed11_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,11,0.050000000000000003,stage3a,stage3b,seed11_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,11,0.10000000000000001,stage3a,stage3a,seed11_solution012,0.49940972770400971,0.16596241524418812,post-hoc matched partition; no reselection
jpetstore,11,0.10000000000000001,stage3a,stage3b,seed11_solution012,0.44595340188334565,0.12943946000607789,post-hoc matched partition; no reselection
jpetstore,11,0.14999999999999999,stage3a,stage3a,seed11_solution003,0.47350078997339529,0.20923155208654778,post-hoc matched partition; no reselection
jpetstore,11,0.14999999999999999,stage3a,stage3b,seed11_solution003,0.46418835052245822,0.09384240733872358,post-hoc matched partition; no reselection
jpetstore,11,0.20000000000000001,stage3a,stage3a,seed11_solution017,0.3908692005077905,0.34723016821136837,post-hoc matched partition; no reselection
jpetstore,11,0.20000000000000001,stage3a,stage3b,seed11_solution017,0.3813889092825552,0.25547796381747084,post-hoc matched partition; no reselection
jpetstore,12,0,stage3a,stage3a,seed12_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,12,0,stage3a,stage3b,seed12_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,12,0.0050000000000000001,stage3a,stage3a,seed12_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,12,0.0050000000000000001,stage3a,stage3b,seed12_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,12,0.01,stage3a,stage3a,seed12_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,12,0.01,stage3a,stage3b,seed12_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
jpetstore,12,0.025000000000000001,stage3a,stage3a,seed12_solution000,0.59878563847962085,0,post-hoc matched partition; no reselection
jpetstore,12,0.025000000000000001,stage3a,stage3b,seed12_solution000,0.51226006853751849,0,post-hoc matched partition; no reselection
