row_index,class_id,class_name,input_hash
97,org.apache.xerces.dom3.as.ASNotationDeclaration,ASNotationDeclaration,740f81e42d72a57fda0cc690828e42a874e452409d6a76dbafd9567a30e6124f
98,org.apache.xerces.dom3.as.ASObject,ASObject,1657bd0dd07c554b23f1f30b9134ba1bf175a5bcea21ad18866617a49d6db074
99,org.apache.xerces.dom3.as.ASObjectList,ASObjectList,817e6c5ed4fd9bbd207be1179a80a1edc904be3b0cf7b0ff1ab962965782004c
100,org.apache.xerces.dom3.as.CharacterDataEditAS,CharacterDataEditAS,ee5f3b81440b85dfee5daaa0df9adcc6f4ce5c0b295a97d937300aaf919aa8b3
101,org.apache.xerces.dom3.as.DOMASBuilder,DOMASBuilder,f0b7161760ccd438da2ef92b771dd1a29c82e41795eea63a82a424b98db730d3
102,org.apache.xerces.dom3.as.DOMASException,DOMASException,78e5f6d76c5e706da01d9e97d87affe34e7dc7b73c3d2ab67846929764ce2e8e
103,org.apache.xerces.dom3.as.DOMASWriter,DOMASWriter,3f051b86630f06e169294639dfd7815724c5c9d78308856bf1e38c1e0577b91f
104,org.apache.xerces.dom3.as.DOMImplementationAS,DOMImplementationAS,f013c5d7e4a21d8abe7461ac4d8dd9b470c65b6d8046f4873862189fd8134193
105,org.apache.xerces.dom3.as.DocumentAS,DocumentAS,33ada529ce2e548f0e53ca8c97dc0ceaa44533ffe5eabe20595ba935b5208812
106,org.apache.xerces.dom3.as.DocumentEditAS,DocumentEditAS,e9b96677892261bc7b294b0fca0ec8aeb22a35a022c58acf09c07d1146b56d45
107,org.apache.xerces.dom3.as.ElementEditAS,ElementEditAS,857446f29200894e66419793400b1ee8113f4d258f68ae1071c60487496d9d41
108,org.apache.xerces.dom3.as.NodeEditAS,NodeEditAS,638b38e2bc5caf60c08c3d074d1d335c89a9a24107e7ce3a3b9ab2e5ec423439
109,org.apache.xerces.impl.Constants,Constants,5878513d8803bce90e35f611d87f677994d0f55ac97f9c6a6afc29863a553e00
110,org.apache.xerces.impl.Constants$ArrayEnumeration,Constants$ArrayEnumeration,971b71aa8a72540fd115e6747181fb5e5d20824bc3da12ff1afbce2aff577a6d
111,org.apache.xerces.impl.ExternalSubsetResolver,ExternalSubsetResolver,c97a266d16aa4fe5c286b08f9ff50cc2a8c5f2a60cc54c1fdb2dbcafae76df2d
112,org.apache.xerces.impl.RevalidationHandler,RevalidationHandler,be2c799675ac4e5695615c1c373976c81eae3acac94eb3c2926274ece11df3e5
113,org.apache.xerces.impl.Version,Version,7f574d512e519adb76574ab9d80153a53ee1d943b6c0d38f9733126c36afd0b9
114,org.apache.xerces.impl.XML11DTDScannerImpl,XML11DTDScannerImpl,e8f7881f5a9917b8231540a7d4bfbbeafa874624d692d48b2e82a90fe4c6cb54
115,org.apache.xerces.impl.XML11DocumentScannerImpl,XML11DocumentScannerImpl,13add061dd7bc503262fdc8ff276dccd02d93cbac3845791a52a8ab5f0261c69
116,org.apache.xerces.impl.XML11EntityScanner,XML11EntityScanner,245da6b2234afd33ef89c1c72b0e168c2aab71e698547bc30cd7e57cac78353d
117,org.apache.xerces.impl.XML11NSDocumentScannerImpl,XML11NSDocumentScannerImpl,b0db3a5fa07e534de8f19ecd303276ab5561b642e1b9d9e73fdc39e7fe4f3e45
118,org.apache.xerces.impl.XML11NSDocumentScannerImpl$NS11ContentDispatcher,XML11NSDocumentScannerImpl$NS11ContentDispatcher,ffe69f7eca6340e2123f2e51ba1e34098c8aafbbf6db789c77b4e0c7ec7e2d24
119,org.apache.xerces.impl.XML11NamespaceBinder,XML11NamespaceBinder,d574928342facdeffe7ea447288958c34fec4088f0a840f69ff2f1fc0df44ace
120,org.apache.xerces.impl.XMLDTDScannerImpl,XMLDTDScannerImpl,bd0f86746970f1dc3ffb0f5b3ab3fc8d2c31dee6b3902061987ad21e91a94c0a
121,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl,XMLDocumentFragmentScannerImpl,e2ebd3a255c2424d5a974a1648803394dc4056d42ac8dc400730433e199707b6
122,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$Dispatcher,XMLDocumentFragmentScannerImpl$Dispatcher,df249ebabd134d4e04d954bfa4d1af72dce564e4fde6bc92b55586a3c371fa6b
123,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$ElementStack,XMLDocumentFragmentScannerImpl$ElementStack,67dcaf3d56ba4c26e80541bb9d8145d6f9d284e82d63b017a0e64fa893f5aac3
124,org.apache.xerces.impl.XMLDocumentFragmentScannerImpl$FragmentContentDispatcher,XMLDocumentFragmentScannerImpl$FragmentContentDispatcher,93e4819a7bb19f9367497601aedb2c727b19133ce978275b336c28c5f9d74880
125,org.apache.xerces.impl.XMLDocumentScannerImpl,XMLDocumentScannerImpl,8f4ef82d9f3dcb6e3f5d7cbcf56cd759be01bb70e9f3b9c270b5ca5dfb66cae6
126,org.apache.xerces.impl.XMLDocumentScannerImpl$ContentDispatcher,XMLDocumentScannerImpl$ContentDispatcher,a2e0b1da4f231ff596c22a837af633ccd7787a3b5d1b42f45b15351dad2e8677
127,org.apache.xerces.impl.XMLDocumentScannerImpl$DTDDispatcher,XMLDocumentScannerImpl$DTDDispatcher,3a171e6eb1a06d141511cda98efc631def396f8024e4f5eb15f09bd3351b7384
128,org.apache.xerces.impl.XMLDocumentScannerImpl$PrologDispatcher,XMLDocumentScannerImpl$PrologDispatcher,155b4135ac7b6e4e928a038fdf5966c3910d47c48aa50d887d6cfd85a4ec38de
129,org.apache.xerces.impl.XMLDocumentScannerImpl$TrailingMiscDispatcher,XMLDocumentScannerImpl$TrailingMiscDispatcher,9b6b1f61e2a75657ca79253df6af426d049db019b63a227ac9e1bd854b95113b
130,org.apache.xerces.impl.XMLDocumentScannerImpl$XMLDeclDispatcher,XMLDocumentScannerImpl$XMLDeclDispatcher,63ab5997aedf970b40b9b2715dc2fb65820ffbb655862d119e6d6760d7fed77d
131,org.apache.xerces.impl.XMLEntityDescription,XMLEntityDescription,ef57563c066190f1b24df4e576d05ea7888374d1f3a8395ddd6feb1d604ed7a0
132,org.apache.xerces.impl.XMLEntityHandler,XMLEntityHandler,e28b05cae27bdb917f1337e42bd84cb724eb31740214f758dbf567d81e00400b
133,org.apache.xerces.impl.XMLEntityManager,XMLEntityManager,afc354b4a60c5a1acd83df33fffe1234eae1cb24ea08833f999dfcf84f96e128
134,org.apache.xerces.impl.XMLEntityManager$1,XMLEntityManager$1,6e0e80686ae868e990695a6fb1e874af34954b5cca6c4189776c22be9a20b916
