class_id,row_index,input_hash
org.apache.xerces.dom.EntityReferenceImpl,56,60a3511ccd6d56f851d0324d9ed33b6b27fbe6a360447bd8123a9bfc5cf3c41d
org.apache.xerces.dom.LCount,57,925835a20e07303c140dfcd3ac627b8b1f12353797ce7202ab0ef975e1fbc79a
org.apache.xerces.dom.NamedNodeMapImpl,58,24aac7cbbdd18d31fd94c9f8449163dc8aedcdf1f49ec8d700209b54af5e1f29
org.apache.xerces.dom.NodeImpl,59,595a4f6fda8102f17b44cf097aeba3edd5966c3b4aa8968fc66bc07be480ad76
org.apache.xerces.dom.NodeIteratorImpl,60,78e016e1cff632e320abbb235d4d124607e318ac28e15800027740fb890bce57
org.apache.xerces.dom.NodeListCache,61,0ec477be0be5254a1c331415534e3049688225a1028244c0932fde9bb286f4ce
org.apache.xerces.dom.NotationImpl,62,934c8e5551a7cac102a1f9b650e1ac98e90bad541331a777ed434f831226cc9f
org.apache.xerces.dom.ObjectFactory,63,c8a06958a9895235ba26e221d9ec10ac182508d559df82d41849a00fc2e412ae
org.apache.xerces.dom.ObjectFactory$ConfigurationError,64,c662b9268c9234e681496f21b9ccf5bb8def43078e31d8e7e8603ad845e48cc4
org.apache.xerces.dom.PSVIAttrNSImpl,65,e0d2a21732e9ddda19063434b887a15a9e6d29edf87216052173d4f84d3b1f51
org.apache.xerces.dom.PSVIDOMImplementationImpl,66,d8dc58a4604cd798ecee3ffe320a15d67104977b07ca5c947d4fafe8e3006151
org.apache.xerces.dom.PSVIDocumentImpl,67,269b4d9a1a42ed41de91e08a624eb4bdd452742262ef883bf8cea84c70df6030
org.apache.xerces.dom.PSVIElementNSImpl,68,9c2f0b2319334720478fbbcf59a93a70b10fc075f45f825d44e66a84cecb9c6a
org.apache.xerces.dom.ParentNode,69,5fcd5b24e575f9757d16bdde58142d118605b30ee3736e999ca71a0cde6942ce
org.apache.xerces.dom.ParentNode$1,70,09ddea73a1ce8cbe11e288a77cd30d5c29b1c0e9d4ef996858a47e70ea1c60c1
org.apache.xerces.dom.ParentNode$UserDataRecord,71,bb69b73877b312b0f3419bdbb6d76ab118b66bd6b60b0813a1690a6fd1265e35
org.apache.xerces.dom.ProcessingInstructionImpl,72,03d8a43d927ff4e9d1ebaefb58c49e6d6626e1baa4b07a877f6c51738b64043e
org.apache.xerces.dom.RangeExceptionImpl,73,3c50847fce0ca86e4216772614069e590efb769d5a345fa2faf87671ad49430f
