summary,stage,subject,budget,field,saved,recomputed,match,target,profile,profile_family,metric,reference
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,max_gain,0.42717803813051991,0.42717803813051991,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,positive_count,17,17,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,at_least_5pct_count,16,16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,at_least_10pct_count,14,14,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,at_least_20pct_count,12,12,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,at_least_30pct_count,8,8,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,median_realised_modularity_loss,0.0905838553691721,0.090583855369172045,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,mean_realised_modularity_loss,0.078720073176962002,0.078720073176961988,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,max_realised_modularity_loss,0.1461799757812513,0.1461799757812513,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,median_coupling,0.44095940959409591,0.44095940959409591,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,median_cohesion,7.2139939689939698,7.2139939689939689,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,median_cluster_count,9,9,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.14999999999999991,median_singleton_ratio,0.018867924528301799,0.018867924528301799,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,eligible_seed_count,22,22,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,availability_rate,0.73333333333333317,0.73333333333333328,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,unavailable_seed_count,8,8,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,median_gain,0.32058323331173011,0.32058323331173011,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,mean_gain,0.29016855584808132,0.29016855584808138,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,iqr_gain,0.18082216221725561,0.18082216221725572,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,std_gain,0.14164258500929791,0.14164258500929799,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,min_gain,-2.4865207393427118e-16,-2.4865207393427118e-16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,max_gain,0.52991262210399326,0.52991262210399326,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,positive_count,21,21,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,at_least_5pct_count,20,20,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,at_least_10pct_count,18,18,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,at_least_20pct_count,16,16,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,at_least_30pct_count,12,12,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,median_realised_modularity_loss,0.1496939884084284,0.1496939884084284,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,mean_realised_modularity_loss,0.1216116655178974,0.12161166551789732,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,max_realised_modularity_loss,0.19000116341756379,0.19000116341756379,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,median_coupling,0.45456642066420661,0.45456642066420661,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,median_cohesion,7.0446847596847588,7.0446847596847588,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,median_cluster_count,9,9,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,daytrader,0.20000000000000001,median_singleton_ratio,0.018867924528301799,0.018867924528301799,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,eligible_seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,availability_rate,1,1,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,unavailable_seed_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,median_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,mean_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,iqr_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,std_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,min_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,max_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,positive_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,at_least_5pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,at_least_10pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,at_least_20pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,at_least_30pct_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,median_realised_modularity_loss,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,mean_realised_modularity_loss,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,max_realised_modularity_loss,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,median_coupling,0.25185185185185183,0.25185185185185183,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,median_cohesion,5.477380952380952,5.477380952380952,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,median_cluster_count,4,4,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0,median_singleton_ratio,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,eligible_seed_count,30,30,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,availability_rate,1,1,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,unavailable_seed_count,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,median_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,mean_gain,0.098618270522420601,0.098618270522420629,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,iqr_gain,0,0,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,std_gain,0.1818167575310061,0.18181675753100612,True,,,,,
stage2_budgeted_balance_summary.csv,stage2,jpetstore,0.0050000000000000001,min_gain,0,0,True,,,,,
