kind,stage,subject,seed,solution_id,field,production,reference,absolute_difference,match,rule,budget,projected_only
metric,stage2,jpetstore,29,seed29_solution009,imbalance,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,weighted_modularity,0.4215180612711477,0.4215180612711478,1.1102230246251565e-16,True,,,
metric,stage2,jpetstore,29,seed29_solution034,internal_edge_weight_ratio,0.6617283950617284,0.6617283950617284,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,internal_external_edge_ratio,1.9562043795620438,1.9562043795620438,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,cluster_count,5,5,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,average_cluster_size,4.8,4.8,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,max_cluster_size,6,6,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,min_cluster_size,2,2,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,max_cluster_ratio,0.25,0.25,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,cluster_size_cv,0.33333333333333337,0.33333333333333337,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,coupling,0.33827160493827163,0.33827160493827163,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,cohesion,8.773333333333333,8.773333333333333,0,True,,,
metric,stage2,jpetstore,29,seed29_solution034,imbalance,0.33333333333333337,0.33333333333333337,0,True,,,
selection,stage2,jpetstore,29,,,seed29_solution000,seed29_solution000,0,True,modularity,,False
selection,stage2,jpetstore,29,,,seed29_solution000,seed29_solution000,0,True,balance,0,False
selection,stage2,jpetstore,29,,,seed29_solution009,seed29_solution009,0,True,balance,0.050000000000000003,False
selection,stage2,jpetstore,29,,,seed29_solution009,seed29_solution009,0,True,balance,0.050000000000000003,True
metric,stage2,daytrader,0,seed0_solution054,weighted_modularity,0.2660538093503629,0.26605380935036316,2.7755575615628914e-16,True,,,
metric,stage2,daytrader,0,seed0_solution054,internal_edge_weight_ratio,0.4654059040590406,0.4654059040590406,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,internal_external_edge_ratio,0.8705780845556514,0.8705780845556514,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,cluster_count,10,10,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,average_cluster_size,5.3,5.3,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,max_cluster_size,12,12,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,min_cluster_size,2,2,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,max_cluster_ratio,0.22641509433962265,0.22641509433962265,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,cluster_size_cv,0.6592983097983453,0.6592983097983453,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,coupling,0.5345940959409594,0.5345940959409594,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,cohesion,14.832683982683983,14.832683982683983,0,True,,,
metric,stage2,daytrader,0,seed0_solution054,imbalance,0.6592983097983453,0.6592983097983453,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,weighted_modularity,0.10056456883757031,0.1005645688375703,1.3877787807814457e-17,True,,,
metric,stage2,daytrader,0,seed0_solution000,internal_edge_weight_ratio,0.8256457564575646,0.8256457564575646,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,internal_external_edge_ratio,4.735449735449736,4.735449735449736,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,cluster_count,20,20,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,average_cluster_size,2.65,2.65,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,max_cluster_size,21,21,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,min_cluster_size,1,1,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,max_cluster_ratio,0.39622641509433965,0.39622641509433965,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,singleton_ratio,0.2641509433962264,0.2641509433962264,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,cluster_size_cv,1.6971695491205607,1.6971695491205607,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,coupling,0.17435424354243542,0.17435424354243542,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,cohesion,2.426547619047619,2.426547619047619,0,True,,,
metric,stage2,daytrader,0,seed0_solution000,imbalance,1.6971695491205607,1.6971695491205607,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,weighted_modularity,0.013002571792323092,0.013002571792323095,3.4694469519536142e-18,True,,,
metric,stage2,daytrader,0,seed0_solution099,internal_edge_weight_ratio,0.2066420664206642,0.2066420664206642,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,internal_external_edge_ratio,0.26046511627906976,0.26046511627906976,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,cluster_count,7,7,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,average_cluster_size,7.571428571428571,7.571428571428571,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,max_cluster_size,16,16,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,min_cluster_size,2,2,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,max_cluster_ratio,0.3018867924528302,0.3018867924528302,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,cluster_size_cv,0.7399498698538709,0.7399498698538709,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,coupling,0.7933579335793358,0.7933579335793358,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,cohesion,38.003416821273966,38.003416821273966,0,True,,,
metric,stage2,daytrader,0,seed0_solution099,imbalance,0.7399498698538709,0.7399498698538709,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,weighted_modularity,0.11242304622077587,0.11242304622077595,8.3266726846886741e-17,True,,,
metric,stage2,daytrader,0,seed0_solution049,internal_edge_weight_ratio,0.4976937269372694,0.4976937269372694,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,internal_external_edge_ratio,0.9908172635445363,0.9908172635445363,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,cluster_count,11,11,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,average_cluster_size,4.818181818181818,4.818181818181818,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,max_cluster_size,18,18,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,min_cluster_size,1,1,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,max_cluster_ratio,0.33962264150943394,0.33962264150943394,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,singleton_ratio,0.018867924528301886,0.018867924528301886,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,cluster_size_cv,0.9017209921017751,0.9017209921017751,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,coupling,0.5023062730627307,0.5023062730627307,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,cohesion,24.6283422459893,24.6283422459893,0,True,,,
metric,stage2,daytrader,0,seed0_solution049,imbalance,0.9017209921017751,0.9017209921017751,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,weighted_modularity,0.04252786675698862,0.042527866756988664,4.163336342344337e-17,True,,,
metric,stage2,daytrader,0,seed0_solution048,internal_edge_weight_ratio,0.4986162361623616,0.4986162361623616,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,internal_external_edge_ratio,0.9944802207911684,0.9944802207911684,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,cluster_count,3,3,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,average_cluster_size,17.666666666666668,17.666666666666668,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,max_cluster_size,18,18,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,min_cluster_size,17,17,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,max_cluster_ratio,0.33962264150943394,0.33962264150943394,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,cluster_size_cv,0.02668327476175651,0.02668327476175651,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,coupling,0.5013837638376384,0.5013837638376384,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,cohesion,2.414488017429194,2.414488017429194,0,True,,,
metric,stage2,daytrader,0,seed0_solution048,imbalance,0.02668327476175651,0.02668327476175651,0,True,,,
selection,stage2,daytrader,0,,,seed0_solution054,seed0_solution054,0,True,modularity,,False
selection,stage2,daytrader,0,,,,,0,True,balance,0,False
selection,stage2,daytrader,0,,,,,0,True,balance,0.050000000000000003,False
selection,stage2,daytrader,0,,,,,0,True,balance,0.050000000000000003,True
metric,stage2,daytrader,7,seed7_solution073,weighted_modularity,0.19136970918832805,0.19136970918832827,2.2204460492503131e-16,True,,,
metric,stage2,daytrader,7,seed7_solution073,internal_edge_weight_ratio,0.4003690036900369,0.4003690036900369,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,internal_external_edge_ratio,0.6676923076923077,0.6676923076923077,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,cluster_count,8,8,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,average_cluster_size,6.625,6.625,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,max_cluster_size,10,10,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,min_cluster_size,3,3,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,max_cluster_ratio,0.18867924528301888,0.18867924528301888,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,singleton_ratio,0.0,0.0,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,cluster_size_cv,0.3453397210891156,0.3453397210891156,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,coupling,0.5996309963099631,0.5996309963099631,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,cohesion,6.939583333333333,6.939583333333333,0,True,,,
metric,stage2,daytrader,7,seed7_solution073,imbalance,0.3453397210891156,0.3453397210891156,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,weighted_modularity,0.1005632923026647,0.10056329230266471,1.3877787807814457e-17,True,,,
metric,stage2,daytrader,7,seed7_solution000,internal_edge_weight_ratio,0.8256457564575646,0.8256457564575646,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,internal_external_edge_ratio,4.735449735449736,4.735449735449736,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,cluster_count,18,18,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,average_cluster_size,2.9444444444444446,2.9444444444444446,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,max_cluster_size,21,21,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,min_cluster_size,1,1,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,max_cluster_ratio,0.39622641509433965,0.39622641509433965,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,singleton_ratio,0.18867924528301888,0.18867924528301888,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,cluster_size_cv,1.5868137660381847,1.5868137660381847,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,coupling,0.17435424354243542,0.17435424354243542,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,cohesion,2.696164021164021,2.696164021164021,0,True,,,
metric,stage2,daytrader,7,seed7_solution000,imbalance,1.5868137660381847,1.5868137660381847,0,True,,,
metric,stage2,daytrader,7,seed7_solution099,weighted_modularity,0.03217559418444737,0.03217559418444741,4.163336342344337e-17,True,,,
metric,stage2,daytrader,7,seed7_solution099,internal_edge_weight_ratio,0.22001845018450183,0.22001845018450183,0,True,,,
metric,stage2,daytrader,7,seed7_solution099,internal_external_edge_ratio,0.2820816085156712,0.2820816085156712,0,True,,,
metric,stage2,daytrader,7,seed7_solution099,cluster_count,6,6,0,True,,,
metric,stage2,daytrader,7,seed7_solution099,average_cluster_size,8.833333333333334,8.833333333333334,0,True,,,
metric,stage2,daytrader,7,seed7_solution099,max_cluster_size,11,11,0,True,,,
metric,stage2,daytrader,7,seed7_solution099,min_cluster_size,2,2,0,True,,,
metric,stage2,daytrader,7,seed7_solution099,max_cluster_ratio,0.20754716981132076,0.20754716981132076,0,True,,,
